"External ID","Summary","Issue Type","Description","Priority","Parent","Sprint","Story Points","Reporter","Labels","Labels","Labels","Labels","Labels","Labels"
"STY-001","DEVOPS: Provision dev/stage/prod environments","Task","Kubernetes clusters + managed Postgres + S3 buckets + Redis across 3 envs. Networking + secrets vault.","High","PRX-1","Sprint 0","5","PO","devops","platform","dev-be-1","prx-e0","devops","platform"
"STY-002","DEVOPS: Set up CI/CD pipeline (BE + FE)","Task","GitHub Actions: lint → test → build → deploy. Branch protection rules. Preview envs on PR.","High","PRX-1","Sprint 0","5","PO","devops","platform","dev-be-2","prx-e0","devops","platform"
"STY-003","FE: Bootstrap FE repo + design system package","Task","Vite + React + TS + Tailwind + routing. Shared @praxion/ui package scaffold. Storybook.","High","PRX-1","Sprint 0","3","PO","fe","platform","dev-fe-1","prx-e0","fe","platform"
"STY-004","FE: Design system token package (colors/type/spacing)","Task","Brand v2.0 tokens wired into @praxion/tokens. TS types + CSS vars. Tailwind plugin.","High","PRX-1","Sprint 0","3","PO","fe","platform","dev-fe-2","prx-e0","fe","platform"
"STY-005","QA: Test framework + first smoke tests","Task","Playwright for e2e, Vitest for unit, Pact for contract. Smoke test hits staging health endpoint.","High","PRX-1","Sprint 0","2","PO","qa","platform","qa-1","prx-e0","qa","platform"
"STY-006","DEVOPS: Observability — logging + metrics + tracing","Task","Stack: Loki + Prometheus + Grafana + OTEL. Dashboards for p50/p95 latency + error rate.","High","PRX-1","Sprint 0","2","PO","devops","platform","dev-be-1","prx-e0","devops","platform"
"STY-007","PO: Stakeholder interviews — Records management","Task","Interview HR Ops + People team. Document: attributes, lifecycle states, data sources.","High","PRX-2","Sprint 1","3","PO","po","m1-core-hris","po","prx-e1","po","foundation"
"STY-008","PO: Stakeholder interviews — Org structure","Task","Interview Finance + HR Ops. Document: cost-centre model, reporting lines, org depth.","High","PRX-2","Sprint 1","3","PO","po","m1-core-hris","po","prx-e1","po","foundation"
"STY-009","TL: Spike — Auth provider comparison (Auth0/Keycloak/Cognito)","Task","POC 3 providers against SSO req. Document trade-offs + cost. Recommend provider.","High","PRX-2","Sprint 1","3","PO","tl","platform","tl","prx-e1","tl","platform"
"STY-010","TL: Spike — Multi-tenancy pattern selection","Task","Evaluate: row-level-sec vs schema-per-tenant vs db-per-tenant. Benchmark + recommend.","High","PRX-2","Sprint 1","3","PO","tl","platform","tl","prx-e1","tl","platform"
"STY-011","DES: UX research synthesis (existing materials)","Task","Synthesize discovery docs, Meeting-Docs-Apr22, master layout feedback. Personas + journeys.","High","PRX-2","Sprint 1","5","PO","des","m1-core-hris","des-1","prx-e1","design","foundation"
"STY-012","BE: Data model design — Employees + audit fields","Task","ERD draft: employees, addresses, emergency contacts, identifiers. Include audit/soft-delete.","High","PRX-2","Sprint 1","5","PO","be","m1-core-hris","dev-be-1","prx-e1","be","foundation"
