"External ID","Summary","Issue Type","Parent ID","Assignee","Original Estimate","Labels"
"SUB-001","Schema/migration — Provision dev/stage/prod environments","Subtask","STY-001","DEV-BE-1","4h","sub"
"SUB-002","Implementation — Provision dev/stage/prod environments","Subtask","STY-001","DEV-BE-1","10h","sub"
"SUB-003","Unit + integration tests — Provision dev/stage/prod environments","Subtask","STY-001","DEV-BE-1","4h","sub"
"SUB-004","Schema/migration — Set up CI/CD pipeline (BE + FE)","Subtask","STY-002","DEV-BE-2","4h","sub"
"SUB-005","Implementation — Set up CI/CD pipeline (BE + FE)","Subtask","STY-002","DEV-BE-2","10h","sub"
"SUB-006","Unit + integration tests — Set up CI/CD pipeline (BE + FE)","Subtask","STY-002","DEV-BE-2","4h","sub"
"SUB-007","Component/page build — Bootstrap FE repo + design system package","Subtask","STY-003","DEV-FE-1","8h","sub"
"SUB-008","State wiring + form validation — Bootstrap FE repo + design system package","Subtask","STY-003","DEV-FE-1","4h","sub"
"SUB-009","E2E + a11y pass — Bootstrap FE repo + design system package","Subtask","STY-003","DEV-FE-1","3h","sub"
"SUB-010","Component/page build — Design system token package (colors/type/spacing)","Subtask","STY-004","DEV-FE-2","8h","sub"
"SUB-011","State wiring + form validation — Design system token package (colors/type/spacing)","Subtask","STY-004","DEV-FE-2","4h","sub"
"SUB-012","E2E + a11y pass — Design system token package (colors/type/spacing)","Subtask","STY-004","DEV-FE-2","3h","sub"
"SUB-013","Research / draft — Stakeholder interviews — Records management","Subtask","STY-007","PO","4h","sub"
"SUB-014","Review + finalize — Stakeholder interviews — Records management","Subtask","STY-007","PO","2h","sub"
"SUB-015","Research / draft — Stakeholder interviews — Org structure","Subtask","STY-008","PO","4h","sub"
"SUB-016","Review + finalize — Stakeholder interviews — Org structure","Subtask","STY-008","PO","2h","sub"
"SUB-017","Research / draft — Spike — Auth provider comparison (Auth0/Keycloak/Cognito)","Subtask","STY-009","TL","4h","sub"
"SUB-018","Review + finalize — Spike — Auth provider comparison (Auth0/Keycloak/Cognito)","Subtask","STY-009","TL","2h","sub"
"SUB-019","Research / draft — Spike — Multi-tenancy pattern selection","Subtask","STY-010","TL","4h","sub"
"SUB-020","Review + finalize — Spike — Multi-tenancy pattern selection","Subtask","STY-010","TL","2h","sub"
"SUB-021","Figma build — UX research synthesis (existing materials)","Subtask","STY-011","DES-1","10h","sub"
"SUB-022","Review + handoff — UX research synthesis (existing materials)","Subtask","STY-011","DES-1","2h","sub"
"SUB-023","Schema/migration — Data model design — Employees + audit fields","Subtask","STY-012","DEV-BE-1","4h","sub"
"SUB-024","Implementation — Data model design — Employees + audit fields","Subtask","STY-012","DEV-BE-1","10h","sub"
"SUB-025","Unit + integration tests — Data model design — Employees + audit fields","Subtask","STY-012","DEV-BE-1","4h","sub"
